ид_абонента;имя;фамилия;дата_подключения;доверительный_платеж;колл_инт_устр;колл_тв_устр;коммент_при_подкл
7e84e22a-15da-46dd-88f9-b095425d0c5e;Paige;King;2020-01-04;0;1;2;good
7f7164fa-f4a4-4b50-b7ae-36f92b4fba1a;Mona;Weldon;2020-01-20;1;2;1;
81e22e66-267d-4a8c-8aac-bc24e0779769;Celina;Wright;2020-01-09;0;2;3;good
87fd5cc7-cc89-4351-a93c-84d7a2954d17;Kirsten;Buckley;2020-01-07;0;2;4;good
93278b7e-c957-4ce4-9326-639e14594655;Benjamin;Brooks;2020-01-09;1;1;5;
964c1902-e1db-440e-99da-ca36c4806b33;Liliana;Harrison;2020-01-20;1;2;2;bad
966557f1-b688-4f2d-be19-46808ae4a768;Estrella;Jobson;2020-01-10;0;1;5;bad
97200e6c-ff6c-4d6c-8e1d-65e6e972c629;Caleb;Hobbs;2020-01-04;1;1;4;bad
a32c6a3f-2a65-4337-9b5c-0795d0f634e6;Hailey;Amstead;2020-01-11;1;1;4;good
a3fafec8-d796-42f1-9042-40007bbc1c9d;Josh;Bailey;2020-01-22;0;1;2;good
a46580b6-2500-44e9-98d2-a3f13d99b864;Camellia;Moore;2020-01-26;1;2;5;
a5abfa61-2c19-43e0-97c8-112a35f2a40f;Jayden;Addis;2020-01-22;0;1;5;good
a6875f37-8979-4eab-93ff-3dfb08aff8c6;Marvin;Stevenson;2020-01-17;0;2;2;
abcab16b-baa2-4106-bf98-df1c6a1f9490;Chester;Riley;2020-01-05;1;1;3;good
acbfe937-0329-4ff6-9680-cbe1b866c8d1;Piper;Cunningham;2020-01-06;0;2;2;
ada42e3d-294e-4b0b-bde3-d8136877956d;Sofie;Lunt;2020-01-07;1;2;1;good
b2042fff-1b43-4525-9330-a158b903c43d;Aurelia;Farrell;2020-01-15;1;2;1;bad
b4f7ef94-0e62-4ca3-a0bf-2aac5e1bdbc2;Doug;Chappell;2020-01-04;1;2;4;bad
b56d6e64-4bf7-4fc7-8fe6-657a96fc6a37;Emma;Dempsey;2020-01-30;1;1;1;bad
bc697da5-01bf-4aad-afa6-a484166656af;Tiffany;Fenton;2020-01-30;1;1;3;
bce9e6a2-f3c7-4b99-aed3-ee3ebd43cd22;Kassandra;Lucas;2020-01-22;1;2;4;bad
bd421219-ef2e-4ea1-983e-76a94d8abdf5;Kieth;Mcleod;2020-01-01;1;1;4;good
be76e1a3-4050-4934-9625-2d0a8a44bbee;Alexa;Thornton;2020-01-20;0;2;5;
bf97da52-38c9-4a36-b147-7fe336c35c66;Ron;Cann;2020-01-01;1;2;3;bad
bfcd9f6a-9269-49f0-91b8-6a344e96a580;Daron;Wilson;2020-01-13;0;1;4;
c069c890-e499-4593-99ec-163aaedbaa90;Mackenzie;Nelson;2020-01-27;0;2;5;good
c2f5c53d-2026-41c9-bcaa-bba46ce8c4f5;Anais;Gosling;2020-01-22;0;1;3;good
c49f41b1-2675-4cf0-837f-460256d2d25a;Kendra;Carter;2020-01-10;0;2;3;
c5f4f7c8-66ca-4e41-96cc-81112d922a76;Cynthia;Farmer;2020-01-30;0;1;4;
c8212f2f-74da-47f7-9577-c140818259af;Elijah;Weasley;2020-01-13;1;2;1;
c94977f8-fe0f-4d64-a3bf-29936bc015f8;Matt;Alldridge;2020-01-17;1;2;3;bad
caec554f-64e6-42f9-bbdc-0b7db57dcefe;Alexander;Nielson;2020-01-01;1;2;5;
cbaf8a65-7d4c-4f9c-9cc8-f537bb4c9b2a;Kamila;James;2020-01-08;1;1;3;bad
cbb50e0f-2f19-46e5-a5e1-5c6273e3255c;Martin;Paterson;2020-01-11;1;1;2;
ccb53bc6-23e4-41be-b548-4694a7d31494;Anthony;Roberts;2020-01-31;1;1;2;
ce221149-b382-4b58-b530-37381dba4f5a;Johnny;Radley;2020-01-11;0;2;5;bad
cf177d81-063b-4822-84ee-ceb5f726eb1e;Crystal;Yates;2020-01-18;0;2;1;bad
d2c3433c-e57e-4b22-9c1b-0c0f83477d9e;Johnny;Jones;2020-01-22;1;1;3;
d511f782-3d04-4622-90f4-02eb8a7c6694;Hank;Baldwin;2020-01-10;1;2;2;good
d8e7f123-18f6-4c09-a683-d466ee1217e1;Kirsten;Cowan;2020-01-21;0;1;1;
da2b4ec0-5d0e-48d6-950f-5281c64fb602;Doug;Owen;2020-01-31;1;1;2;good
dd690375-cc17-4397-ae1a-e2edd7b6152d;Johnny;Warden;2020-01-01;0;2;4;bad
dede7ffa-d32e-4efd-a789-8d89d75348cd;Robyn;Rees;2020-01-16;1;1;1;bad
e2783c9c-176e-4ab0-872c-ca266eb22bf8;Martin;Parker;2020-01-10;0;1;1;
e32d708a-357e-42a6-8666-fc8cb6de0a6a;Henry;Hunt;2020-01-29;0;2;5;
e532f686-214b-4bf2-ad8a-3d46af8ae4b6;Rosalee;Harrison;2020-01-25;0;1;4;good
ed95f5eb-bbf3-4271-825d-d5046c9058a6;Chad;Corbett;2020-01-27;0;1;4;bad
eece6b9c-2d39-49d3-8f30-eed492640c1b;Hope;Bright;2020-01-26;0;2;1;
f07c6f72-4160-46a8-b75c-ca334dd26ab0;Carol;Ryan;2020-01-21;0;1;4;bad
f1f44b1c-31a6-46d2-8d88-b08a8152751f;Bethany;Kennedy;2020-01-31;1;2;2;
f236b1d9-3cfd-4879-bf3c-dec6910cf8e0;William;Bennett;2020-01-18;1;2;2;bad
f2bcb9b0-4c11-4f02-9ea5-6bf1497465e3;Domenic;Fleming;2020-01-20;0;1;5;bad
f2cb921f-165e-4b93-b8d1-a9d65cd42427;Kieth;Forth;2020-01-20;1;2;4;good
f5fb6c2a-f496-43ee-b7a0-fb00b7220fd5;Valentina;Malone;2020-01-03;0;2;3;
fdf40c5f-50d4-4d9f-a015-b5aece2aa944;Luke;Saunders;2020-01-15;0;1;3;
fe863776-81c9-45c2-b537-3b55ff176cdc;Caleb;Owen;2020-01-27;1;1;4;
